Date,AI Policy Uncertainty
2000/1/31,40.3225806
2000/2/29,37.5
2000/3/31,38.7096774
2000/4/30,46.6666667
2000/5/31,50
2000/6/30,55.1724138
2000/7/31,61.2903226
2000/8/31,59.6774194
2000/9/30,48.3333333
2000/10/31,43.5483871
2000/11/30,61.6666667
2000/12/31,46.7741935
2001/1/31,50.877193
2001/2/28,61.8181818
2001/3/31,62.9032258
2001/4/30,51.6666667
2001/5/31,29.3103448
2001/6/30,44.0677966
2001/7/31,44.8275862
2001/8/31,51.6129032
2001/9/30,41.3793103
2001/10/31,47.4576271
2001/11/30,38.9830508
2001/12/31,46.5517241
2002/1/31,58.0645161
2002/2/28,35.2941176
2002/3/31,46.6666667
2002/4/30,45.7627119
2002/5/31,47.4576271
2002/6/30,49.1525424
2002/7/31,60
2002/8/31,44.2622951
2002/9/30,49.1525424
2002/10/31,27.5862069
2002/11/30,46.5517241
2002/12/31,47.5409836
2003/1/31,60.3448276
2003/2/28,38
2003/3/31,44.2622951
2003/4/30,58.3333333
2003/5/31,50
2003/6/30,53.3333333
2003/7/31,57.3770492
2003/8/31,52.4590164
2003/9/30,56.1403509
2003/10/31,58.9285714
2003/11/30,53.3333333
2003/12/31,43.5483871
2004/1/31,40.3508772
2004/2/29,57.1428571
2004/3/31,49.1803279
2004/4/30,63.3333333
2004/5/31,61.0169492
2004/6/30,63.3333333
2004/7/31,56.4516129
2004/8/31,54.8387097
2004/9/30,59.6491228
2004/10/31,57.6271186
2004/11/30,66.1016949
2004/12/31,58.0645161
2005/1/31,56.4516129
2005/2/28,51.9230769
2005/3/31,53.2258065
2005/4/30,55.9322034
2005/5/31,49.1803279
2005/6/30,60
2005/7/31,61.2903226
2005/8/31,61.2903226
2005/9/30,60
2005/10/31,55
2005/11/30,60
2005/12/31,61.2903226
2006/1/31,57.3770492
2006/2/28,61.1111111
2006/3/31,61.2903226
2006/4/30,68.3333333
2006/5/31,64.4067797
2006/6/30,66.6666667
2006/7/31,59.0163934
2006/8/31,70.9677419
2006/9/30,65
2006/10/31,54.2372881
2006/11/30,68.3333333
2006/12/31,62.9032258
2007/1/31,57.3770492
2007/2/28,52.8301887
2007/3/31,57.3770492
2007/4/30,70
2007/5/31,54.8387097
2007/6/30,61.6666667
2007/7/31,80.6451613
2007/8/31,60.6557377
