Date,High-Tech Policy Uncertainty
2000/1/31,72.5806452
2000/2/29,58.9285714
2000/3/31,58.0645161
2000/4/30,65
2000/5/31,67.7419355
2000/6/30,79.3103448
2000/7/31,66.1290323
2000/8/31,69.3548387
2000/9/30,68.3333333
2000/10/31,61.2903226
2000/11/30,76.6666667
2000/12/31,70.9677419
2001/1/31,63.1578947
2001/2/28,76.3636364
2001/3/31,74.1935484
2001/4/30,68.3333333
2001/5/31,50
2001/6/30,61.0169492
2001/7/31,51.7241379
2001/8/31,66.1290323
2001/9/30,51.7241379
2001/10/31,69.4915254
2001/11/30,61.0169492
2001/12/31,60.3448276
2002/1/31,67.7419355
2002/2/28,41.1764706
2002/3/31,68.3333333
2002/4/30,67.7966102
2002/5/31,61.0169492
2002/6/30,61.0169492
2002/7/31,75
2002/8/31,63.9344262
2002/9/30,71.1864407
2002/10/31,51.7241379
2002/11/30,62.0689655
2002/12/31,70.4918033
2003/1/31,81.0344828
2003/2/28,56
2003/3/31,65.5737705
2003/4/30,83.3333333
2003/5/31,76.6666667
2003/6/30,61.6666667
2003/7/31,78.6885246
2003/8/31,77.0491803
2003/9/30,70.1754386
2003/10/31,76.7857143
2003/11/30,75
2003/12/31,61.2903226
2004/1/31,52.6315789
2004/2/29,82.1428571
2004/3/31,75.4098361
2004/4/30,80
2004/5/31,72.8813559
2004/6/30,80
2004/7/31,80.6451613
2004/8/31,79.0322581
2004/9/30,70.1754386
2004/10/31,67.7966102
2004/11/30,83.0508475
2004/12/31,83.8709677
2005/1/31,70.9677419
2005/2/28,63.4615385
2005/3/31,82.2580645
2005/4/30,79.6610169
2005/5/31,72.1311475
2005/6/30,78.3333333
2005/7/31,75.8064516
2005/8/31,74.1935484
2005/9/30,81.6666667
2005/10/31,68.3333333
2005/11/30,75
2005/12/31,77.4193548
2006/1/31,80.3278689
2006/2/28,81.4814815
2006/3/31,74.1935484
2006/4/30,85
2006/5/31,79.6610169
2006/6/30,85
2006/7/31,85.2459016
